,rank,title,year,imdb_votes,imdb_rating,duration,genre,cast_name,director_name,storyline
0,1,Planet Earth II,2016,"145,597",9.5,4h 58m,Documentary,"David Attenborough,Chadden Hunter,Gordon Buchanan,Elizabeth White,Fredi Devas,Thomas Crowley,Ed Charles,Emma Napper,Toby Nowlan,Barrie Britton,Pete McCowen,Michael J. Sanderson,Max Hug Williams,Armin Holtze,J.P. Magnan,Jon Griffith,Jerome Poncet,Sandesh Kadur,Emma Brennand,Mark MacEwen,Hasibelo Rakoutouvaou,Rob Drewett,Juarez Sena Feitoza,Aaron Durogati,Abbas Yusuf,Louis Labrom-Brown","Justin Anderson,Ed Charles,Fredi Devas,Chadden Hunter,Emma Napper,Elizabeth White",David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.
1,2,Breaking Bad,2008,"1,881,190",9.5,49m,"Crime,Drama,Thriller","Bryan Cranston,Anna Gunn,Aaron Paul,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell,Krysten Ritter,Carmen Serano,Emily Rios,Tina Parker,Mark Margolis,Jeremiah Bitsui,Ian Posada,David Costabile,Michael Bowen,David House,Kevin Rankin,Daniel Moncada,Patrick Sane,Moira Bryg MacDonald,Jessica Hecht,Bill Burr,Marius Stan,Rodney Rush,Todd Terry,Luis Moncada,Kaija Bales,Tait Fletcher,Matthew T. Metzler,Raymond Cruz,Tess Harper,John de Lancie,Jere Burns,Nigel Gibbs,Tom Kiesche,Maurice Compte,Morse Bicknell,Christopher King,Max Arciniega,Michael Bofshever,Adam Godley,Julie Dretzin,Jesus Jr.,Louis Ferreira,Cesar Garcia,Julia Minesci,Mike Batayeh,Javier Grajeda,Angelo Martinez,Gonzalo Menendez,Chris Freihofer,Mike Seal,Christopher Dempsey,Ashley Kajiki,Mary Sue Evans,Jason Douglas,Antonio Leyba,John Koyama,Danny Trejo,Dale Dickey,David Ury,Jim Beaver,Sam McMurray,Dan Desmond,Jeremy Howard,Larry Hankin,JB Blanc,Jason Byrd,James Ning,Russ Dillen,Jonathan Ragsdale,Steven Bauer,Sam Webb,Judith Rane,Caleb Landry Jones,Catherine Haun,Virginia Montero,Eric Steinig,Pedro García,Phil Duran,Antoinette Antonio,Miguel Martinez,John Christopher Hicks,Lou Pimber,Matt Berlin,Dana Cortez,Joe Nemmers,David Priemazon,Mark Vasconcellos,DJ Qualls,Harry Groener,Beth Bailey,Shane Marinson,Fred Cruz,Kyle Bornheimer,Geoffrey Rivas,William Sterchi,Pierre Barrera,Jeff Fenter,Aaron Hill,Benjamin Petry,Anna Felix,Anthony Wamego,Marc Mouchet,Isaac Kappy,Drew Waters,Marcus M. Mauldin,Tomas Potts,Nate Mooney,Damon Herriman,Jennifer Hasty,Kiira Arai,Gregory Chase,Ryan Lee,Dylan Carr,Shauna McLean,Cyd Schulte,Carl Savering,Louis Herthum,Carole Gutierrez,Carlo Rota,Blake Berris,Rob Brownstein,Norbert Weisser,Bill Allen,Daniel Serrano,Jon Kristian Moore,J.D. Garfield,Shannon McCormick,Vic Browder,Brandon Carr,Jimmy Daniels,Liam Ruggles,Tony Whitecrow,Mark Harelik,Michael Bryan French,Rutherford Cravens,Frank Andrade,Jamie McShane,Wolf Muser,Franc Ross,Melissa McCurley,Bruce McKenzie,Loren Haynes,Mike Miller,Vivian Nesbitt,Evan Bobrick,Tish Rayburn-Miller,Cocoa Brown,Shenoah Allen,Wendy Scott,Ka Beesler,Jolene Purdy,Ruben Munoz-Soto,John Lawlor,Myra Turley,Paul Neis,Scott Sharot,Myk Watford,Carrington Vilmont,James Harris,Wray Crawford,Roberta Marquez Seret,Lorri Oliver,Kyle Swimmer,Rio Alexander,Drew Pollock,Andrew Lutheran,Phil Howell,Erik J. Bockemeier,Argos MacCallum,Taylor Dearden,Tiley Chao,Victor Munoz-Soto,John Barbour,Brittany Gustin,Fran Martone,Jason E. Hill,Monique Candelaria,Kathleen Brady,Guy Wilson,Saginaw Grant,Cheryl Ford-Mente,Manny Rey,Seri DeYoung,Kristen Loree,Robert Arrington,Juliet Lopez,Casey Cerutti,Robin Dearden,Eddie J. Fernandez,Stoney Westmoreland,Michael Showers,Amanda Schofield,Cynthia Ruffin,James Martinez,Tank Jones,J. Michael Oliva,Rick A. Ortega Jr.,Henry Herman,Victoria Aultman,Gail Starr,Brennan Brown,Hank Rogerson,Debi Parker,Rafael Herrera,Dennis Keiffer,Frederic Doss,Dave Colon,Allan Pacheco,Kieran Sequoia,Kat Sawyer,Ben Hernandez Bray,Mark Hanson,Erin Elliott,Steve Corona,Fernando Escandon,Galen Hutchison,Matthew Feight,Ralph Alderman,Keith Meriweather,Stephen Eiland,Phillip Hart,Chad Brummett,Eric Price,Sachie Capitani,Billy Lockwood,Carrie Fleming,Juanita Trad,Lawrence Varnado,Sheran Goodspeed Keyton,Reis Myers McCormick,Richard Williams,Mark Sivertsen,Toby Holguin,Jesus Mayorga,Portia Cline,Parker Sisty,Flora Amanda,T.C. Warner,Delana Michaels,Celia Anaya,Norma Maldonado,Robert Forster,Jack Burning,Patricio Delgado,Matthew Page,Linda Speciale,Daniel D. Halleck,Erin Miller-Gibbs,Gabriel Berrelleza,Lora Martinez-Cunningham,Eddie Perez,Lorél Medina,Chris Ranney,Jose Avila,Michael McCormick,Kevin Wiggins,Maria L. Pardo,Jefferson Arca,Jonathan Richards,Debrianna Mansini,Ryan Begay,Wayne Dehart,Alex Gianopoulos,Carlos Telles,Millard Drexler,Jesus Ramirez,Jacob O'Brien Mulliken,Richard Christie,Ramsey Williams,Martiniano Berrelleza Alvarado,Kathy Rose Center,Frank Bond,J. Taylor,Brian G. Lax,Mario Moreno,Steve Cormier,James Espinoza,Rebecca Crago,Sarah Minnich,Michael Sheets,Michael Valverde,Veronica Jaquez,Stephen Braddock,Augusta Meyers,Trine Christensen,Kristin Hansen,Scott Ward,Merritt C. Glover,Caroline Patz,Steve Stafford,Brett Shane Cooley,Victoria Lease,Charles Dowdy III,Joshua S. Patton,Ravenna Fahey,Jiji Hise,Maria Bethke,John Welker,Wendy Kostora,Daniel Champine,David Robinson Jr.,Lorenzita Anaya,Alex Knight,Craig Nigh,Mathias Kaesebier,Ray Chavez,Maggie Fine,Trina E. Siopy,Shari Rhodes,Kevin Christopher Brown,Cicelo Solano,Marty Smith,Mike Ostroski,Brennan Foster,Kate Schroeder,Ashleigh Banfield,Ken Thomas,Erica Viking,Lillian Presley Leyba,Rosa Estrada,Marla Tellez,Steve Ruiz,Aaron Wright,Jeff Maher,Michael Davis,Kevin Owen McDonald,Julianne Flores,William R. Stafford,Deborah Martinez,Kurt Soderstrom,Leslie O'Carroll,Charlie Rose,Martin Palmer,Andrea Good,Karen M. Hudson,Jamie Haqqani,Rodger Larance,Aaron Rogers,Tavia Schwartz,Timothy Holmes,Sergio Kato,Samantha Anastasiou,Clark Sanchez,Stephanie Marie Delgado,Ed Duran,Cliff Gravel,Norm Lee,Robert Anthony Brass,Peggy Ann O'Neal,William T. Johnson,William E. Marshall,Benjamin Lax,Paul J. Porter,Tina Borek,Z. Ray Wakeman,Sebastian Tyler Rose,John Augustini,Jon Reigle,Michael-David Aragon,Malcolm Ullery,David T. Quan,Keith Jardine,Lorena Fernández,Gary Ray Stearns,Laina Loucks,Will Ontiveros,Angela Blake,Erik Beacham,Joe Freeman,Kathryn Dove,Phil Arnold,Anthony Molinari,Marco Morales,Anthony Martins,Haven Tomlin,Tenaya Torres,Ruben Barela,J.T. Richardson,Viola Valdez,Michelle Greathouse,Richard Barela,Grizelda Quintana,Michael R. Tafoya,Ricardo Andres,Todd Sopher,Michael E. Stogner,Breanna Perera,Ryan Schaefer,Alexander Aleynikov,Frank Sandoval,Bill Peterson,Cruz Taylor,Noah Segan,Moira Walley-Beckett,Angela Joseph,Paula Ray,Chester Gayao,Simon Drobik,Taber Cross,Michael Anthony Stone,Jyl Murray,Rick Anglada,Michael Romero,Jon McGarrah,Alexander Roessner,Louise Stange-Wahl,Holly Pinnell","Michelle MacLaren,Adam Bernstein,Vince Gilligan,Colin Bucksey,Michael Slovis,Bryan Cranston,Terry McDonough,Johan Renck,Rian Johnson,Scott Winant,Peter Gould,Tricia Brock,Bronwen Hughes,Tim Hunter,Jim McKay,Phil Abraham,John Dahl,Félix Enríquez Alcalá,Charles Haid,Peter Medak,John Shiban,David Slade,George Mastras,Thomas Schnauz,Sam Catlin",A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
2,3,Planet Earth,2006,"210,164",9.4,8h 58m,Documentary,"Sigourney Weaver,David Attenborough,Nikolay Drozdov,Sanae Ueda,Thomas Anguti Johnston,Huw Cordey,Doug Allan,Mark Linfield,Chadden Hunter,Paul Stewart,Michael Kelem,Jeff Wilson,Rick Rosenthal,Warwick Sloss,Simon King,Jonathan Keeling,Justine Evans,Peter Scoones,Mike Holding,Dany Cleyet-Marrel,Tom Clarke,Doug Anderson,Tania Jenkins,Choi Jen,Peter Perlstein,Haroldo Palo Jr.","Alastair Fothergill,Mark Linfield","Each 50 minute episode features a global overview of a different biome or habitat on Earth (Polar, Mountain, Cave, Desert, Plains, Fresh Water, Seas, Ocean, Forest), followed by a ten-minute featurette which takes a behind-the-scenes look at the challenges of filming the episode."
3,4,Band of Brothers,2001,"469,081",9.4,9h 54m,"Drama,History,War","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing,Neal McDonough,Rick Warden,Dale Dye,Michael Fassbender,Frank John Hughes,Tim Matthews,Rene L. Moreno,Douglas Spain,Richard Speight Jr.,Kirk Acevedo,Eion Bailey,Craig Heaney,Peter McCabe,Matthew Settle,Ben Caplan,Mark Huberman,Phil McKee,Ezra Godden,Adam James,Mark Lawrence,David Nicolle,Simon Schatzberger,Jamie Bamber,Rocky Marshall,Kieran O'Brien,David Schwimmer,Peter O'Meara,Marc Warren,Bart Ruspoli,Doug Cockle,Freddie Joe Farnsworth,Marcos D'Cruze,Stephen Graham,Tom Hardy,Nigel Hoyle,Matt Hickey,Corey Johnson,Laird Macintosh,Iain Robertson,Jason O'Mara,Alex Sabga-Brady,Simon Pegg,Ben Walden,Colin Hanks,Andrew Howard,Edward 'Babe' Heffron,Martin Arno,David Andrews,William Armstrong,David Blair,Jonie Broom,Joel Beckett,David Crow,Paul Bentley,Freerk Bos,Steve Chaplin,Alexis Conran,Dean Blanke,Dominic Cooper,Jason Done,Kristina Brändén Whitaker,Christoph Dostal,Matthew Duquenoy,Simon Fenton,Lee Colley,Tim Davenport,Tony Devlin,Jordan Frieda,Jimmy Fallon,Dirk Galuba,Michael Edmiston,David Forest,Tom George,Jeremy Finch,Diana Kent,Josefien Hendriks,Iain Fletcher,Paul Herzberg,Billy Hill,Jamie Harding,Ben Hecker,James Greene,Maxwell Hutcheon,Lucie Jeanne,Luke Griffin,Nick Lopez,Wolf Kahler,Marc Ryan-Jordan,Richard Lynson,Malcolm Kaye,Bill Laurence,Goran Kostic,James Hurn,Andrew Lee Potts,Joseph May,Benjamin Montague,Colin Ridgewell,Martin Lawton,James McAvoy,Ben Peyton,John Light,Jonjo O'Neill,Chris Robson,Hugo Metsers,Paul Murphy,Andrew Scott,Philip Rham,Christian Malcolm,Scott Rognlien,Hans-Georg Nenning,Suzanne Roquette,Rebecca Okot,Stephen McCole,Milo Twomey,Wil Röttgen,Oscar Pearce,Mark Wakeling,Dan van Husen,Peter Stark,William Tapley,Isabella Seibert,Toby Ross-Bryant,Joe Villa,Stephen Walters,William Meredith,Paul Williams,Harry Peacock,Jonathan Edwards Young,Anatole Taubman,Rupert Wickham,Dave Power,Ricky Nixon,Jack Wouterse,Richard D. Winters,Gertrude Thoma,Luke Roberts,C. Carwood Lipton,Donald Malarkey,Graham Seed,William Guarnere,Adam Sims,Maureen Younger,Darrell 'Shifty' Powers,John Martin,Douglas Bunn,Dean Mitchell,Gary Bunn,Rod Strohl,Damon Driver,Russell Loten,Kevin Hudson,Mark Shrimpton,John Adams,Ross Donnelly,Paul Adams,Tom Hanks,Brandon Firla,Shakyra Dowling,Ian Sharp,Thomas Magnussen,Stuart D. Latham,Salo Gardner,John Whitby,Chris Hastings,Bruce Lawrence,Sonu Louis,Jack Gustav,Edward J. Bentley,Paul Hornsby,Yves O'Hara,Don King,Daniel Baggs,Kieran O'Donnell,Christian Simpson","David Frankel,Mikael Salomon,Tom Hanks,David Leland,Richard Loncraine,David Nutter,Phil Alden Robinson,Tony To","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
4,5,Chernobyl,2019,"751,884",9.4,5h 30m,"Drama,History,Thriller","Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Adrian Rawlins,Alan Williams,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik,Gerard Kearns,Mark Lewis Jones,Jamie Sives,Michael Shaeffer,Adam Lundgren,Ron Cook,Jay Simpson,Povilas Jatkevicius,Joshua Leese,Ross Armstrong,Billy Postlethwaite,Paulius Markevicius,Ralph Ineson,Baltasar Breki Samper,Barry Keoghan,Philip Barantini,Amanda Drew,Oscar Dyekjær Giese,Karolis Kasperavicius,Cait Davis,Darius Petkevicius,Donald Sumpter,Tomas Zaibus,June Watson,Matthew Needham,Josef Altin,Rosie Sheehy,Sergejus Ivanovas,Caoilfhionn Dunne,Alexej Manvelov,Pandora Colin,Fares Fares,Josef Davies,Simonas Dovidauskas,Rachel Atkins,Velta Zygure,Paulius Cizinauskas,Mark Bagnall,Michael McElhatton,Sam Strike,Ian Pirie,Hilton McRae,Alex Ferns,Andrew Sheridan,James Cosmo,Kieran O'Brien,Sammy Hayman,Lukas Malinauskas,Peter Guinness,Arnas Danusas,Marius Karolis Gotbergas,Michael Colgan,Laurence Spellman,Alison Pargeter,James Kermack,Victor McGuire,Karolis Vilkas,Sakalas Uzdavinys,Sarunas Datenis,Deividas Breive,Matas Dirgincius,Aidas Jurgaitis,Aiste S. Gram,Caolan Byrne,Stephen Bisland,Alex Blake,Daniel Crossley,Lucy Russell,Diarmaid Murtagh,Natasha Radski,Yitzchak Averbuch,Joe Tucker,Jokubas Gutautas,Kadrolsha Ona Carole,Jimmy Walker,Danguole Ragazinskaite,Petras Simonis,Dainius Jucius,Roman Listopad,Bartas Erminas",Johan Renck,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
