rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
1897,Den som dræber,2011,7.2,"Action, Crime, Thriller","Laura Bach, Jakob Cedergren, Lars Mikkelsen, Lærke Winther","A monster truck and his human driver go on adventures together while learning about science, technology, engineering and math.","Title: Den som dræber Year: 2011 Genre: Action, Crime, Thriller Cast: Laura Bach, Jakob Cedergren, Lars Mikkelsen, Lærke Winther. Story: A monster truck and his human driver go on adventures together while learning about science, technology, engineering and math."
1898,The Marvelous Misadventures of Flapjack,2008–2010,7.8,"Animation, Short, Adventure","Brian Doyle-Murray, Thurop Van Orman, Jeff Bennett, Steve Little","Marco (Mario Casas) is a young businessman who manages one of the most successful technological companies in the world, ALVA, which has just launched its latest prototype into the market - ...","Title: The Marvelous Misadventures of Flapjack Year: 2008–2010 Genre: Animation, Short, Adventure Cast: Brian Doyle-Murray, Thurop Van Orman, Jeff Bennett, Steve Little. Story: Marco (Mario Casas) is a young businessman who manages one of the most successful technological companies in the world, ALVA, which has just launched its latest prototype into the market - ..."
1899,Blaze and the Monster Machines,2014–2021,5.6,"Animation, Action, Adventure","Nolan North, Nat Faxon, Kevin Michael Richardson, Dee Bradley Baker","In the 1960s, a family experiences life and the struggles of the era, accompanied by the well-known pop songs of the period.","Title: Blaze and the Monster Machines Year: 2014–2021 Genre: Animation, Action, Adventure Cast: Nolan North, Nat Faxon, Kevin Michael Richardson, Dee Bradley Baker. Story: In the 1960s, a family experiences life and the struggles of the era, accompanied by the well-known pop songs of the period."
1900,Instinto,2019,6.2,"Drama, Mystery","Mario Casas, Ingrid García Jonsson, Silvia Alonso, Miryam Gallego","Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor.","Title: Instinto Year: 2019 Genre: Drama, Mystery Cast: Mario Casas, Ingrid García Jonsson, Silvia Alonso, Miryam Gallego. Story: Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor."
1901,American Dreams,2002–2005,7.6,"Drama, Family, History","""Gail OGrady"", Tom Verica, Brittany Snow, Jonathan Adams","When an armed robber with a history of murder resurfaces in Sydney, an under pressure Sergeant Gibbs and her trainee Charlie Fung race to catch him before he wreaks havoc across the city.","Title: American Dreams Year: 2002–2005 Genre: Drama, Family, History Cast: ""Gail OGrady"", Tom Verica, Brittany Snow, Jonathan Adams. Story: When an armed robber with a history of murder resurfaces in Sydney, an under pressure Sergeant Gibbs and her trainee Charlie Fung race to catch him before he wreaks havoc across the city."
1902,Roboti Aniya,2017–2018,8.0,"Comedy, Romance, Sci-Fi","Seung-eon Hwang, Se-wan Park, Yoo Seung-ho, Chae Soo-bin","Baseball pitcher Kim Je-hyeok becomes a convict overnight after being sent to prison for defending his sister from a sexual assault, days before he was due to fly to the US to join the Boston Red Sox.","Title: Roboti Aniya Year: 2017–2018 Genre: Comedy, Romance, Sci-Fi Cast: Seung-eon Hwang, Se-wan Park, Yoo Seung-ho, Chae Soo-bin. Story: Baseball pitcher Kim Je-hyeok becomes a convict overnight after being sent to prison for defending his sister from a sexual assault, days before he was due to fly to the US to join the Boston Red Sox."
1903,Dead Lucky,2018,6.8,"Crime, Thriller","Rachel Griffiths, Yoson An, Mojean Aria, Ian Meadows","Wray Nerely is a struggling actor who starred as a spaceship pilot on Spectrum, a cult classic science fiction series. He navigates the odd people and incidents he encounters along the way while learning to love the fans he has.","Title: Dead Lucky Year: 2018 Genre: Crime, Thriller Cast: Rachel Griffiths, Yoson An, Mojean Aria, Ian Meadows. Story: Wray Nerely is a struggling actor who starred as a spaceship pilot on Spectrum, a cult classic science fiction series. He navigates the odd people and incidents he encounters along the way while learning to love the fans he has."
1904,Seulgirowun Gamppangsaenghwal,2017–2018,8.4,"Comedy, Drama","Hae-soo Park, Jung Kyung-ho, Krystal Jung, Kyoo-hyung Lee","After 15 years in foster homes, Lux decides to get emancipated, which leads to her meeting her birth parents.","Title: Seulgirowun Gamppangsaenghwal Year: 2017–2018 Genre: Comedy, Drama Cast: Hae-soo Park, Jung Kyung-ho, Krystal Jung, Kyoo-hyung Lee. Story: After 15 years in foster homes, Lux decides to get emancipated, which leads to her meeting her birth parents."
1905,Con Man,2015–2017,7.8,Comedy,"Alan Tudyk, Mindy Sterling, Nathan Fillion, Casper Van Dien","Chronicles the exploits of singles, five guys and five girls, in search of love all over the course of one night.","Title: Con Man Year: 2015–2017 Genre: Comedy Cast: Alan Tudyk, Mindy Sterling, Nathan Fillion, Casper Van Dien. Story: Chronicles the exploits of singles, five guys and five girls, in search of love all over the course of one night."
1906,Life Unexpected,2010–2011,7.5,Drama,"Shiri Appleby, Kristoffer Polaha, Britt Robertson, Kerr Smith",A married ex police couple are asked by a police officer and their close friend to turn their remote Guest House into a Safe House.,"Title: Life Unexpected Year: 2010–2011 Genre: Drama Cast: Shiri Appleby, Kristoffer Polaha, Britt Robertson, Kerr Smith. Story: A married ex police couple are asked by a police officer and their close friend to turn their remote Guest House into a Safe House."
1907,Mixology,2013–2014,7.3,"Comedy, Romance","Adam Campbell, Adan Canto, Alexis Carra, Craig Frank","Lady Tabares declares herself innocent before she enters the trial that will define her future. From the police car, she regards the street vendors through the window. One of them is a girl selling roses, just like she did ten years ago.","Title: Mixology Year: 2013–2014 Genre: Comedy, Romance Cast: Adam Campbell, Adan Canto, Alexis Carra, Craig Frank. Story: Lady Tabares declares herself innocent before she enters the trial that will define her future. From the police car, she regards the street vendors through the window. One of them is a girl selling roses, just like she did ten years ago."
1908,Safe House,2015–2017,6.4,"Crime, Drama, Thriller","Stephen Moyer, Zoë Tapper, Jason Watkins, Sunetra Sarker","Ian Fletcher, formerly the Head of the Olympic Deliverance Commission, has taken up the position of Head of Values at the BBC.","Title: Safe House Year: 2015–2017 Genre: Crime, Drama, Thriller Cast: Stephen Moyer, Zoë Tapper, Jason Watkins, Sunetra Sarker. Story: Ian Fletcher, formerly the Head of the Olympic Deliverance Commission, has taken up the position of Head of Values at the BBC."
1909,"Lady, La Vendedora de Rosas",2015– ,8.3,Biography,"Natalia Reyes, Majida Issa, Ernesto Benjumea, Viña Machado","When Tara discovers her fiancé and fellow solicitor Eric has been cheating with a colleague, she leaves him and their prestigious law firm to set up her own practice specialising in family ...","Title: Lady, La Vendedora de Rosas Year: 2015–  Genre: Biography Cast: Natalia Reyes, Majida Issa, Ernesto Benjumea, Viña Machado. Story: When Tara discovers her fiancé and fellow solicitor Eric has been cheating with a colleague, she leaves him and their prestigious law firm to set up her own practice specialising in family ..."
1910,W1A,2014–2020,7.8,Comedy,"Hugh Bonneville, Monica Dolan, Sarah Parish, Jason Watkins",Two hilarious guys put on different sketch comedy performances for the masses to enjoy.,"Title: W1A Year: 2014–2020 Genre: Comedy Cast: Hugh Bonneville, Monica Dolan, Sarah Parish, Jason Watkins. Story: Two hilarious guys put on different sketch comedy performances for the masses to enjoy."
