rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
1,The Family Man,2019– ,8.8,"Action, Comedy, Drama","Manoj Bajpayee, Samantha Akkineni, Priyamani, Sharib Hashmi","A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.","Title: The Family Man Year: 2019–  Genre: Action, Comedy, Drama Cast: Manoj Bajpayee, Samantha Akkineni, Priyamani, Sharib Hashmi. Story: A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
2,Lucifer,2016– ,8.1,"Crime, Drama, Fantasy","Tom Ellis, Lauren German, Lesley-Ann Brandt, Kevin Alejandro",Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels.,"Title: Lucifer Year: 2016–  Genre: Crime, Drama, Fantasy Cast: Tom Ellis, Lauren German, Lesley-Ann Brandt, Kevin Alejandro. Story: Lucifer Morningstar has decided he's had enough of being the dutiful servant in Hell and decides to spend some time on Earth to better understand humanity. He settles in Los Angeles - the City of Angels."
3,The Handmaid's Tale,2017– ,8.4,"Drama, Sci-Fi, Thriller","Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd","Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.","Title: The Handmaid's Tale Year: 2017–  Genre: Drama, Sci-Fi, Thriller Cast: Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd. Story: Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship."
4,StartUp,2016–2018,8.0,"Crime, Thriller","Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza","A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","Title: StartUp Year: 2016–2018 Genre: Crime, Thriller Cast: Adam Brody, Edi Gathegi, Otmara Marrero, Kristen Ariza. Story: A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0."
5,Game of Thrones,2011–2019,9.3,"Action, Adventure, Drama","Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Title: Game of Thrones Year: 2011–2019 Genre: Action, Adventure, Drama Cast: Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey. Story: Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
6,The Kominsky Method,2018–2021,8.2,"Comedy, Drama","Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang","An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.","Title: The Kominsky Method Year: 2018–2021 Genre: Comedy, Drama Cast: Michael Douglas, Sarah Baker, Graham Rogers, Melissa Tang. Story: An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach."
7,Grey's Anatomy,2005– ,7.5,"Drama, Romance","Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers",A drama centered on the personal and professional lives of five surgical interns and their supervisors.,"Title: Grey's Anatomy Year: 2005–  Genre: Drama, Romance Cast: Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers. Story: A drama centered on the personal and professional lives of five surgical interns and their supervisors."
8,The Blacklist,2013– ,8.0,"Crime, Drama, Mystery","James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","Title: The Blacklist Year: 2013–  Genre: Crime, Drama, Mystery Cast: James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold. Story: A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her."
9,Dirty John,2018– ,7.2,"Crime, Drama","Connie Britton, Christian Slater, Eric Bana, Amanda Peet",Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,"Title: Dirty John Year: 2018–  Genre: Crime, Drama Cast: Connie Britton, Christian Slater, Eric Bana, Amanda Peet. Story: Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong."
10,The Walking Dead,2010–2022,8.2,"Drama, Horror, Thriller","Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.,"Title: The Walking Dead Year: 2010–2022 Genre: Drama, Horror, Thriller Cast: Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan. Story: Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive."
11,Breaking Bad,2008–2013,9.4,"Crime, Drama, Thriller","Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,"Title: Breaking Bad Year: 2008–2013 Genre: Crime, Drama, Thriller Cast: Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt. Story: A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future."
12,Peaky Blinders,2013– ,8.8,"Crime, Drama","Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle","A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Title: Peaky Blinders Year: 2013–  Genre: Crime, Drama Cast: Cillian Murphy, Paul Anderson, Helen McCrory, Sophie Rundle. Story: A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
13,The Boys,2019– ,8.7,"Action, Comedy, Crime","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"Title: The Boys Year: 2019–  Genre: Action, Comedy, Crime Cast: Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty. Story: A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers."
14,The Office,2005–2013,8.9,Comedy,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Title: The Office Year: 2005–2013 Genre: Comedy Cast: Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson. Story: A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
15,Vikings,2013–2020,8.5,"Action, Adventure, Drama","Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst","Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","Title: Vikings Year: 2013–2020 Genre: Action, Adventure, Drama Cast: Katheryn Winnick, Gustaf Skarsgård, Alexander Ludwig, Georgia Hirst. Story: Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean."
16,Criminal Minds,2005–2020,8.0,"Crime, Drama, Mystery","Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna","The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again.","Title: Criminal Minds Year: 2005–2020 Genre: Crime, Drama, Mystery Cast: Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna. Story: The cases of the F.B.I. Behavioral Analysis Unit (B.A.U.), an elite group of profilers who analyze the nation's most dangerous serial killers and individual heinous crimes in an effort to anticipate their next moves before they strike again."
17,Manifest,2018–2021,7.2,"Drama, Mystery, Sci-Fi","Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez","A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds.","Title: Manifest Year: 2018–2021 Genre: Drama, Mystery, Sci-Fi Cast: Melissa Roxburgh, Josh Dallas, Athena Karkanis, J.R. Ramirez. Story: A commercial airliner suddenly reappears after being missing for five years. As those aboard reintegrate into society, they experience guiding voices and visions of events yet to occur, and soon a deeper mystery unfolds."
18,Yellowstone,2018– ,8.6,"Drama, Western","Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley",A ranching family in Montana faces off against others encroaching on their land.,"Title: Yellowstone Year: 2018–  Genre: Drama, Western Cast: Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley. Story: A ranching family in Montana faces off against others encroaching on their land."
19,Stranger Things,2016– ,8.7,"Drama, Fantasy, Horror","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","Title: Stranger Things Year: 2016–  Genre: Drama, Fantasy, Horror Cast: Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour. Story: When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back."
20,Why Women Kill,2019– ,8.4,"Comedy, Crime, Drama","Jack Davenport, Lucy Liu, Ginnifer Goodwin, Kirby Howell-Baptiste","An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages.","Title: Why Women Kill Year: 2019–  Genre: Comedy, Crime, Drama Cast: Jack Davenport, Lucy Liu, Ginnifer Goodwin, Kirby Howell-Baptiste. Story: An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages."
21,The Flash,2014– ,7.6,"Action, Adventure, Drama","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Title: The Flash Year: 2014–  Genre: Action, Adventure, Drama Cast: Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes. Story: After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City."
22,Supernatural,2005–2020,8.4,"Drama, Fantasy, Horror","Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins","Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","Title: Supernatural Year: 2005–2020 Genre: Drama, Fantasy, Horror Cast: Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins. Story: Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth."
23,NCIS: Naval Criminal Investigative Service,2003– ,7.7,"Action, Crime, Drama","Mark Harmon, David McCallum, Sean Murray, Pauley Perrette","The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","Title: NCIS: Naval Criminal Investigative Service Year: 2003–  Genre: Action, Crime, Drama Cast: Mark Harmon, David McCallum, Sean Murray, Pauley Perrette. Story: The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs."
24,The Good Doctor,2017– ,8.1,Drama,"Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas","Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","Title: The Good Doctor Year: 2017–  Genre: Drama Cast: Freddie Highmore, Hill Harper, Richard Schiff, Antonia Thomas. Story: Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital."
25,Line of Duty,2012– ,8.7,"Crime, Drama, Mystery","Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson","Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","Title: Line of Duty Year: 2012–  Genre: Crime, Drama, Mystery Cast: Martin Compston, Vicky McClure, Adrian Dunbar, Craig Parkinson. Story: Drama series following the investigations of AC-12, a controversial police anti-corruption unit."
26,Fear the Walking Dead,2015– ,6.9,"Drama, Horror, Sci-Fi","Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.","Title: Fear the Walking Dead Year: 2015–  Genre: Drama, Horror, Sci-Fi Cast: Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades. Story: A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse."
27,Downton Abbey,2010–2015,8.7,"Drama, Romance","Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,"Title: Downton Abbey Year: 2010–2015 Genre: Drama, Romance Cast: Hugh Bonneville, Phyllis Logan, Elizabeth McGovern, Brendan Coyle. Story: A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century."
28,Modern Family,2009–2020,8.4,"Comedy, Drama, Romance","""Ed ONeill"", Sofía Vergara, Julie Bowen, Ty Burrell",Three different but related families face trials and tribulations in their own uniquely comedic ways.,"Title: Modern Family Year: 2009–2020 Genre: Comedy, Drama, Romance Cast: ""Ed ONeill"", Sofía Vergara, Julie Bowen, Ty Burrell. Story: Three different but related families face trials and tribulations in their own uniquely comedic ways."
29,La casa de papel,2017–2021,8.3,"Action, Crime, Mystery","Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso",An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.,"Title: La casa de papel Year: 2017–2021 Genre: Action, Crime, Mystery Cast: Úrsula Corberó, Álvaro Morte, Itziar Ituño, Pedro Alonso. Story: An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain."
30,Schitt's Creek,2015–2020,8.5,Comedy,"Eugene Levy, ""Catherine OHara"", Dan Levy, Annie Murphy","When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","Title: Schitt's Creek Year: 2015–2020 Genre: Comedy Cast: Eugene Levy, ""Catherine OHara"", Dan Levy, Annie Murphy. Story: When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek."
31,Outlander,2014– ,8.4,"Drama, Fantasy, Romance","Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton",An English combat nurse from 1945 is mysteriously swept back in time to 1743.,"Title: Outlander Year: 2014–  Genre: Drama, Fantasy, Romance Cast: Caitriona Balfe, Sam Heughan, Duncan Lacroix, Sophie Skelton. Story: An English combat nurse from 1945 is mysteriously swept back in time to 1743."
32,Shingeki no kyojin,2013–2021,9.0,"Animation, Action, Adventure","Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Title: Shingeki no kyojin Year: 2013–2021 Genre: Animation, Action, Adventure Cast: Yûki Kaji, Marina Inoue, Josh Grelle, Yui Ishikawa. Story: After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
33,War of the Worlds,2019– ,6.3,"Drama, Mystery, Sci-Fi","Léa Drucker, Daisy Edgar-Jones, Natasha Little, Gabriel Byrne","Set in contemporary France, this Anglo-French reimagining of H. G. Wells' classic in the style of Walking Dead follows pockets of survivors forced to team up after an apocalyptic extra-terrestrial strike.","Title: War of the Worlds Year: 2019–  Genre: Drama, Mystery, Sci-Fi Cast: Léa Drucker, Daisy Edgar-Jones, Natasha Little, Gabriel Byrne. Story: Set in contemporary France, this Anglo-French reimagining of H. G. Wells' classic in the style of Walking Dead follows pockets of survivors forced to team up after an apocalyptic extra-terrestrial strike."
34,The Big Bang Theory,2007–2019,8.1,"Comedy, Romance","Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg",A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.,"Title: The Big Bang Theory Year: 2007–2019 Genre: Comedy, Romance Cast: Johnny Galecki, Jim Parsons, Kaley Cuoco, Simon Helberg. Story: A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory."
35,Younger,2015–2021,7.8,"Comedy, Romance","Sutton Foster, Hilary Duff, Debi Mazar, Nico Tortorella","After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old.","Title: Younger Year: 2015–2021 Genre: Comedy, Romance Cast: Sutton Foster, Hilary Duff, Debi Mazar, Nico Tortorella. Story: After being mistaken for younger than she really is, a single mother decides to take the chance to reboot her career and her love life as a 26-year old."
36,Dexter,2006–2021,8.6,"Crime, Drama, Mystery","Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","Title: Dexter Year: 2006–2021 Genre: Crime, Drama, Mystery Cast: Michael C. Hall, Jennifer Carpenter, David Zayas, James Remar. Story: By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers."
37,New Amsterdam,2018– ,8.1,Drama,"Ryan Eggold, Janet Montgomery, Freema Agyeman, Jocko Sims",A new medical director breaks the rules to heal the system at America's oldest public hospital.,"Title: New Amsterdam Year: 2018–  Genre: Drama Cast: Ryan Eggold, Janet Montgomery, Freema Agyeman, Jocko Sims. Story: A new medical director breaks the rules to heal the system at America's oldest public hospital."
38,Brooklyn Nine-Nine,2013–2022,8.4,"Comedy, Crime","Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero","Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","Title: Brooklyn Nine-Nine Year: 2013–2022 Genre: Comedy, Crime Cast: Andy Samberg, Stephanie Beatriz, Terry Crews, Melissa Fumero. Story: Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct."
39,Fargo,2014– ,8.9,"Crime, Drama, Thriller","Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Title: Fargo Year: 2014–  Genre: Crime, Drama, Thriller Cast: Billy Bob Thornton, Martin Freeman, Allison Tolman, Colin Hanks. Story: Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
40,The Mandalorian,2019– ,8.8,"Action, Adventure, Sci-Fi","Pedro Pascal, Gina Carano, Giancarlo Esposito, Chris Bartlett","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Title: The Mandalorian Year: 2019–  Genre: Action, Adventure, Sci-Fi Cast: Pedro Pascal, Gina Carano, Giancarlo Esposito, Chris Bartlett. Story: The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
41,Better Call Saul,2015– ,8.7,"Crime, Drama","Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian","The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Title: Better Call Saul Year: 2015–  Genre: Crime, Drama Cast: Bob Odenkirk, Rhea Seehorn, Jonathan Banks, Patrick Fabian. Story: The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico."
42,This Is Us,2016–2022,8.7,"Comedy, Drama, Romance","Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz","A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents.","Title: This Is Us Year: 2016–2022 Genre: Comedy, Drama, Romance Cast: Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz. Story: A heartwarming and emotional story about a unique set of triplets, their struggles and their wonderful parents."
43,Rick and Morty,2013– ,9.2,"Animation, Adventure, Comedy","Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Title: Rick and Morty Year: 2013–  Genre: Animation, Adventure, Comedy Cast: Justin Roiland, Chris Parnell, Spencer Grammer, Sarah Chalke. Story: An animated series that follows the exploits of a super scientist and his not-so-bright grandson."
44,Queen of the South,2016–2021,7.9,"Action, Crime, Drama","Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón",Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder.,"Title: Queen of the South Year: 2016–2021 Genre: Action, Crime, Drama Cast: Alice Braga, Hemky Madera, Peter Gadiot, Veronica Falcón. Story: Teresa flees Mexico after her drug-runner boyfriend is murdered. Settling in Dallas she looks to become the country's reigning drug smuggler and to avenge her lover's murder."
45,American Horror Story,2011– ,8.0,"Drama, Horror, Thriller","Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson","An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","Title: American Horror Story Year: 2011–  Genre: Drama, Horror, Thriller Cast: Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson. Story: An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp."
46,"Love, Death & Robots",2019– ,8.5,"Animation, Short, Comedy","Scott Whyte, Nolan North, Steven Pacey, ""Emily OBrien""","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","Title: Love, Death & Robots Year: 2019–  Genre: Animation, Short, Comedy Cast: Scott Whyte, Nolan North, Steven Pacey, ""Emily OBrien"". Story: A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
47,Black Mirror,2011– ,8.8,"Drama, Sci-Fi, Thriller","Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Title: Black Mirror Year: 2011–  Genre: Drama, Sci-Fi, Thriller Cast: Daniel Lapaine, Hannah John-Kamen, Michaela Coel, Beatrice Robertson-Jones. Story: An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
48,The Witcher,2019– ,8.2,"Action, Adventure, Fantasy","Henry Cavill, Anna Shaffer, Freya Allan, Yasen Atour","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","Title: The Witcher Year: 2019–  Genre: Action, Adventure, Fantasy Cast: Henry Cavill, Anna Shaffer, Freya Allan, Yasen Atour. Story: Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts."
49,The Crown,2016– ,8.6,"Biography, Drama, History","Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith",Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,"Title: The Crown Year: 2016–  Genre: Biography, Drama, History Cast: Claire Foy, Olivia Colman, Imelda Staunton, Matt Smith. Story: Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century."
50,Lost,2004–2010,8.3,"Adventure, Drama, Fantasy","Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Title: Lost Year: 2004–2010 Genre: Adventure, Drama, Fantasy Cast: Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly. Story: The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island."
51,It's Always Sunny in Philadelphia,2005– ,8.8,Comedy,"Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson",Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,"Title: It's Always Sunny in Philadelphia Year: 2005–  Genre: Comedy Cast: Charlie Day, Glenn Howerton, Rob McElhenney, Kaitlin Olson. Story: Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia."
52,Kim's Convenience,2016–2021,8.2,Comedy,"Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang, Simu Liu",The misadventures of a Korean-Canadian family running a convenience store.,"Title: Kim's Convenience Year: 2016–2021 Genre: Comedy Cast: Paul Sun-Hyung Lee, Jean Yoon, Andrea Bang, Simu Liu. Story: The misadventures of a Korean-Canadian family running a convenience store."
53,Shameless,2011–2021,8.5,"Comedy, Drama","Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Title: Shameless Year: 2011–2021 Genre: Comedy, Drama Cast: Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White. Story: A scrappy, feisty, fiercely loyal Chicago family makes no apologies."
54,S.W.A.T.,2017– ,7.0,"Action, Adventure, Crime","Shemar Moore, Alex Russell, Lina Esco, Kenny Johnson",Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles.,"Title: S.W.A.T. Year: 2017–  Genre: Action, Adventure, Crime Cast: Shemar Moore, Alex Russell, Lina Esco, Kenny Johnson. Story: Follows a locally born and bred S.W.A.T. sergeant and his team of highly-trained men and women as they solve crimes in Los Angeles."
55,How I Met Your Mother,2005–2014,8.3,"Comedy, Romance","Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris",A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.,"Title: How I Met Your Mother Year: 2005–2014 Genre: Comedy, Romance Cast: Josh Radnor, Jason Segel, Cobie Smulders, Neil Patrick Harris. Story: A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother."
56,Pose,2018–2021,8.6,Drama,"Mj Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel","In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism.","Title: Pose Year: 2018–2021 Genre: Drama Cast: Mj Rodriguez, Dominique Jackson, Indya Moore, Angel Bismark Curiel. Story: In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism."
57,New Girl,2011–2018,7.7,Comedy,"Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone","After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time.","Title: New Girl Year: 2011–2018 Genre: Comedy Cast: Zooey Deschanel, Jake Johnson, Max Greenfield, Hannah Simone. Story: After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
58,See,2019– ,7.6,"Action, Drama, Sci-Fi","Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo","Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight.","Title: See Year: 2019–  Genre: Action, Drama, Sci-Fi Cast: Jason Momoa, Sylvia Hoeks, Hera Hilmar, Christian Camargo. Story: Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins is born with sight."
